date,sin_t,cos_t,aus0052-0088,aus0052-0088_Dp_mean,aus0052-0088_Hs_mean,aus0052-0088_Hs_peak,aus0052-0088_Tp_mean
2017-01-27,0.44794493940789115,0.8940611451454876,-10.984908137436548,72.02424,0.7442153,1.2994885,10.088869
2017-02-03,0.5521013427459208,0.8337770129585915,-5.853643911512819,64.66695,0.9927785,1.4751929,7.8108144
2017-02-10,0.6482618097757122,0.7614175109532997,-14.768580479419228,66.15078,1.4134318,2.099859,8.895098
2017-02-17,0.7350336741329412,0.6780306024735382,-7.83332464333904,73.99414,1.0986179,1.9827898,7.545932
2017-02-24,0.8111602420785621,0.5848239578463322,,62.222065,1.0418966,1.5092348,8.165596
2017-03-03,0.8755389928586302,0.4831474640149687,,74.68228,1.0315446,1.2960968,9.24959
2017-03-10,0.9272375462179537,0.374473674486883,,76.86516,1.1339337,1.5989019,10.788472
2017-03-17,0.9655071658143364,0.2603764827344581,,60.439407,1.1348871,1.8723394,7.9380608
2017-03-24,0.9897936029670716,0.14250832791617088,,69.39038,1.3248384,2.006895,7.9052176
2017-03-31,0.9997451236925734,0.022576263041545485,,48.81097,1.1417059,2.9727595,8.913938
2017-04-07,0.9952176027737294,-0.09768276782171598,,81.50106,1.2098774,1.6671448,10.158541
2017-04-14,0.9762766110869321,-0.21652708524481437,-11.084070279441306,66.54808,1.138559,1.6524246,9.917821
2017-04-21,0.9431964659565866,-0.33223549871590435,,67.692986,1.1795813,1.5513808,12.438042
2017-04-28,0.8964562582905575,-0.44313223418263453,-3.7074626733131595,74.03883,1.0420942,1.498484,10.203115
2017-05-05,0.8367329140344921,-0.5476112038402312,4.912220101401374,83.40084,0.6470533,0.9785268,8.222967
2017-05-12,0.7648913904341226,-0.6441592666722685,,62.279743,1.2589036,1.7447375,10.347067
2017-05-19,0.6819721490904629,-0.7313781428679254,19.668286617386514,67.5,1.1204226,1.7556043,8.836189
2017-05-26,0.5891760872322963,-0.8080046647350754,9.871111224150923,66.3549,1.2754982,1.5602757,9.492107
2017-06-02,0.4878471454423119,-0.8729290708206411,1.799671615784149,78.05499,0.85226375,1.1538973,10.312366
2017-06-09,0.37945284372454435,-0.925211078289358,,82.87635,0.60365653,1.3883673,9.243818
2017-06-16,0.26556302780405594,-0.9640935007889755,,69.900215,1.6811502,2.55105,8.568473
2017-06-23,0.14782713347053048,-0.9890132145779883,,80.57857,1.2191578,2.2707047,10.151633
2017-06-30,0.02795029824021032,-0.999609314096404,-3.5767278227193913,69.31346,0.55609024,0.8757373,9.624964
2017-07-07,-0.09233133369539123,-0.9957283388645872,-4.39193655904819,66.53381,0.60825646,0.86559093,11.122951
2017-07-14,-0.2112757555821793,-0.9774264960104055,,83.11539,0.41371864,0.73178613,8.761061
2017-07-21,-0.3271603271220951,-0.9449688462364056,2.632831244593376,61.738228,0.6108428,1.2042371,7.0766544
2017-07-28,-0.4383067230125192,-0.898825465016444,-0.4909827905560462,72.82337,0.46343258,0.67798704,11.612131
2017-08-04,-0.5431052396834317,-0.8396646346181327,16.938129363042037,67.181885,0.61727405,1.1992627,9.417518
2017-08-11,-0.6400381082043503,-0.7683431655492202,16.64431649616344,66.56581,0.63341224,1.0338496,9.1995735
2017-08-18,-0.7277014757264236,-0.6858939875998223,17.137007924026534,51.418037,0.6558784,1.6453447,7.8544517
2017-08-25,-0.8048257371083452,-0.593511190196115,-24.71198498649025,72.822426,0.7566638,1.134595,10.672968
2017-09-01,-0.8702939222685674,-0.49253272872205434,4.512922422996581,75.60196,0.71870667,0.92397076,9.686381
2017-09-08,-0.9231578729647039,-0.38442104726885545,12.19637787878932,54.495415,0.6412307,1.3043119,9.1570635
2017-09-15,-0.9626519747161487,-0.2707418984477642,,60.015358,0.75819415,1.7419634,9.263079
2017-09-22,-0.9882042449941422,-0.15314166701312007,10.552552278695657,51.913727,0.7356385,1.402278,6.5465326
2017-09-29,-0.9994446170919858,-0.033323525711631344,,30.099054,1.2743796,2.4521384,6.954906
2017-10-06,-0.9962102997023297,0.0869772313136861,,57.344074,1.0797334,1.9666618,7.0580497
2017-10-13,-0.9785481345802031,0.20601832032517084,,57.739456,0.79158264,1.2377783,7.912165
2017-10-20,-0.9467139181463862,0.3220757010206104,,69.14081,1.7742987,2.2745469,8.532539
2017-10-27,-0.9011686968561569,0.4334685453485363,1.9297090896480995,53.05511,0.8944211,1.8183943,8.249891
2017-11-03,-0.8425720899866032,0.5385835804920232,,58.77407,0.92423964,1.8453363,8.354106
2017-11-10,-0.7717727365467837,0.6358984534680745,,69.43084,1.0187427,1.5496954,8.416942
2017-11-17,-0.6897960046655887,0.7240037789593305,,76.728775,0.6885824,1.2662141,8.001569
2017-11-24,-0.5978291414589552,0.801623551065242,,74.53891,1.0937878,1.7321903,9.583735
2017-12-01,-0.4972040784469378,0.8676336233547726,,67.42745,1.3069121,1.582089,8.668279
2017-12-08,-0.3893781415452015,0.9210779895789526,,67.67638,1.5167083,2.4588625,9.224584
2017-12-15,-0.27591294500296043,0.9611826292540837,,68.20792,1.0526924,1.3440335,10.179463
2017-12-22,-0.15845177496083632,0.9873667175937016,,62.306705,0.98984945,1.6943209,7.3937764
2017-12-29,-0.03869579017652689,0.9992510374388481,-3.3239975091496206,54.23593,0.770308,1.2601925,7.0657206
2018-01-05,0.08590610426133272,0.9963032375991965,,65.43996,0.67773026,1.2715162,5.774526
2018-01-12,0.20496611396949532,0.9787690698649216,4.214516536906444,52.873802,0.7287092,1.2904826,5.816747
2018-01-19,0.321057654185271,0.9470596510722283,,76.886055,0.8797512,1.8083693,11.040153
2018-01-26,0.4324994021339788,0.901634220265486,,65.29726,0.6798123,1.0071945,8.17569
2018-02-02,0.5376773767406141,0.8431506618282,,67.2346,1.5826082,2.4123304,9.86985
2018-02-09,0.6350683134867438,0.7724559775191742,,68.089066,0.96579134,1.269045,10.068571
2018-02-16,0.7232617254437388,0.6905740195722293,-5.027624168531304,68.15243,1.294288,2.3125372,11.493082
2018-02-23,0.8009803309782905,0.5986906625177214,,69.37713,1.7706778,2.6440032,10.35525
2018-03-02,0.8670985522812081,0.4981366284784055,,82.86584,0.8050666,1.9916264,8.012304
2018-03-09,0.9206588168102428,0.3903682146763026,,76.03134,0.9655085,1.4082423,7.959774
2018-03-16,0.9608854255574977,0.27694620226893646,,70.095375,1.5776949,2.7180364,9.767583
2018-03-23,0.9871957872910085,0.15951325197263655,1.743035283370375,69.67373,1.2602619,1.9761653,9.068068
2018-03-30,0.9992088560679753,0.03977011384605572,,59.89161,1.6756773,2.4106677,10.683807
2018-04-06,0.9967506498213929,-0.08054900421874167,,67.5703,1.5168984,1.928568,9.402829
2018-04-13,0.9798567700958665,-0.1997015525660636,-14.246384717299122,66.21968,1.2697222,1.7141556,10.038072
2018-04-20,0.9487718864399473,-0.31596187665790293,-6.440670746350321,55.37358,0.8430503,1.1940904,6.6080117
2018-04-27,0.9039461929224011,-0.42764620926777464,-13.132534574777225,71.25233,0.87655675,1.0735127,7.9037447
2018-05-04,0.8460288880917339,-0.533137056031809,,79.217834,0.8089362,1.1008148,9.661402
2018-05-11,0.7758587728069828,-0.6309066211876704,-4.009458677902899,71.48761,0.98137593,1.3036355,7.7803736
2018-05-18,0.6944521021088763,-0.719538934232584,,89.23869,0.54906,0.7146983,8.698368
2018-05-25,0.6029878670694714,-0.7977503570459932,6.97551986128417,73.40932,0.55712426,0.91153556,12.111842
2018-06-01,0.5027907197793043,-0.8644081744776648,,78.03383,0.6983911,0.9398829,8.122208
2018-06-08,0.3953117887649151,-0.9185469991587165,1.453254442825994,80.504166,0.9847672,1.7970737,9.730014
2018-06-15,0.2821076626819194,-0.9593827529490743,,77.35638,0.70244724,1.0680827,8.887508
2018-06-22,0.16481784665719793,-0.9863240225317866,-1.0860279471178274,84.09445,0.52095866,0.78443426,9.742052
